gender,cyberbully_presence,age_group,religiosity_importance,religiosity_attendance,religiosity_strength,age,total_cyber_victim,total_impulsivity,total_religiosity,private_religiosity,public_religiosity,religious,"cb1_[revised_cyber_bullying_inventory___bully_scale;_1=never;_2=once;_3=two_three_times;_4=more_than_three_times]__in_the_last_12_months,_have_you_cyberbullied_anyone_by...:stealing_of_personal_information_from_computer_like_files,_email_addresses,_pictures,_im_messages,_or_facebook_info",cb2_stealing_of_computer_nicknames_or_screen_names,"cb3_threatening_in_online_forums_like_chat_rooms,_facebook_or_twitter","cb4_insulting_in_online_forums_like_chat_rooms,_facebook_or_twitter",cb5_exluding_in_online_forums_by_blocking_others_comments_or_removing_them,cb6_slandering_by_posting_fake_photos_on_the_internet,cb7_sharing_private_internet_conversations_without_the_others_knowledge_such_as_chatting_with_a_friend_on_skype_with_others_in_the_room,cb8_making_fun_of_comments_in_online_forums_such_as_facebook,cb9_sending_threatening_or_hurtful_comments_through_email,cb10_stealing_email_access_usernames_and_passwords_and_blocking_true_owners_access,cb11_stealing_email_access_and_reading_personal_messages,cb12_sending_threatening_and_or_hurtful_text_messages,cb13_misleading_by_pretending_to_be_other_gender_male/female,cb14_published_online_an_embarrassing_photo_without_a_permission,"cbv1_[revised_cyber_bullying_inventory___victim_scale;_1=never;_2=once;_3=two_three_times;_4=more_than_three_times]_in_the_last_12_months,_have_you_been_cyberbullied_by_anyone_by...:_stealing_of_personal_information_from_computer_like_files,_email_addresses,_pictures,_im_messages,_or_facebook_info",cbv2_stealing_of_computer_nicknames_or_screen_names,"cbv3_threatening_in_online_forums_like_chat_rooms,_facebook_or_twitter","cbv4_insulting_in_online_forums_like_chat_rooms,_facebook_or_twitter",cbv5_excluding_in_online_forums_by_blocking_others_comments_or_removing_them,cbv6_slandering_by_posting_fake_photos_on_the_internet,cbv7_sharing_private_internet_conversations_without_the_others_knowledge_such_as_chatting_with_a_friend_on_skype_with_others_in_the_room,cbv8_making_fun_of_comments_in_online_forums_such_as_facebook,cbv9_sending_threatening_or_hurtful_comments_through_email,cbv10_stealing_email_access_usernames_and_passwords_and_blocking_true_owners_access,cbv11_stealing_email_access_and_reading_personal_messages,cbv12_sending_threatening_and_or_hurtful_text_messages,cbv13_misleading_by_pretending_to_be_other_gender_male/female,cbv14_published_online_an_embarrassing_photo_without_a_permission
male,yes,<21,3,1,3,17,14,68,4,3,1,2,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,yes,<21,1,1,1,17,14,86,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,3,2,3,17,14,71,5,3,2,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,3,1,3,17,14,80,4,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,yes,<21,2,1,2,18,14,74,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,2,1,2,18,14,51,3,2,1,2,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,4,2,3,18,14,75,6,4,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,2,1,1,19,14,84,3,2,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,1,1,1,19,14,65,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,1,1,1,19,14,76,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,1,1,1,20,14,69,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,1,1,1,20,14,69,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,3,2,2,20,14,59,5,3,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,2,1,2,21,14, ,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,yes,>21,1,1,1,22,14,73,2,1,1,1,2,1,2,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,>21,1,1,1,22,14,59,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,>21,1,2,2,23,14,72,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,>21,4,1,3,24,14,52,5,4,1,2,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,<21,1,1,1,18,15,63,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
female,no,<21,1,1,1,18,16,55,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1
female,no,<21,1,1,1,18,29,75,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,2,1,4,1,1,1,4,1,4
female,no,<21,2,1,2,18,18,58,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2
female,no,<21,1,1,1,18,19,61,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2
female,no,<21,1,1,1,18,16,62,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
male,no,<21,1,1,1,19,20,68,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,1
male,no,<21,1,1,1,19,16,63,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
female,no,<21,3,2,3,19,16,60,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1
female,no,<21,4,4,4,19,15,53,8,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
female,no,<21,1,1,1,20,16,61,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1
female,no,<21,2,1,2,20,15,74,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
female,no,>21,1,1,1,22,16,63,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
female,no,>21,1,1,1,23,15,56,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
female,no,>21,3,2,3,24,15,70,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
female,no,>21,1,1,1,24,21,67,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,3,1,3
male,yes,<21,2,2,2,17,37,71,4,2,2,2,4,4,1,1,4,3,2,4,1,1,1,1,1,1,4,4,4,2,1,3,4,2,1,1,3,4,1,3
male,yes,<21,2,4,2,17,19,82,6,2,4,2,2,1,2,2,2,1,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,2
male,yes,<21,1,1,1,17,23,69,2,1,1,1,1,1,1,4,3,1,1,4,1,1,1,1,1,1,1,1,4,4,1,1,1,4,1,1,1,1,1,1
male,yes,<21,1,1,1,17,35,74,2,1,1,1,3,3,3,4,4,4,3,4,1,4,4,1,1,3,1,1,1,4,1,4,4,4,1,4,4,1,1,4
female,yes,<21,1,2,1,17,16,76,3,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
female,yes,<21,4,2,4,17,32,76,6,4,2,2,2,2,1,3,4,1,1,2,1,1,1,1,1,1,3,2,2,3,2,2,2,3,2,2,2,2,1,4
female,yes,<21,1,1,1,17,16,74,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1
female,yes,<21,1,1,1,17,17,59,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2
female,yes,<21,3,1,1,17,42,71,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
female,yes,<21,2,1,1,17,19,55,3,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4
female,yes,<21,2,1,1,17,24,84,3,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,3,2,1,1,2,3,1,1,3,1,2
female,yes,<21,1,1,1,17,15,66,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
female,yes,<21,1,1,1,17,15,70,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
female,yes,<21,4,2,3,17,20,78,6,4,2,2,2,1,1,2,2,1,3,3,1,1,2,3,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,1
female,yes,<21,1,1,1,17,41,82,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,3,1,1,4,4,4,1,4,4,4,1,4,4,1,4
female,yes,<21,1,1,1,17,29,98,2,1,1,1,1,2,2,4,4,2,3,4,3,1,1,3,1,4,1,1,1,3,3,1,3,3,3,1,1,4,1,3
female,yes,<21,1,1,1,17,18,72,2,1,1,1,1,1,1,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1
female,yes,<21,2,1,2,17,15,62,3,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
male,yes,<21,3,3,3,18,18,77,6,3,3,2,1,1,2,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1
male,yes,<21,4,2,4,18,18,70,6,4,2,2,1,1,2,3,3,1,1,3,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1
male,yes,<21,1,1,1,18,18,84,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1
male,yes,<21,3,1,3,18,22,67,4,3,1,2,1,1,1,2,3,1,1,1,1,1,4,1,1,1,2,1,3,3,2,1,1,1,1,1,1,1,1,3
male,yes,<21,1,2,1,18,26,79,3,1,2,2,1,1,1,2,2,1,3,3,1,1,1,1,1,2,1,1,2,2,2,1,3,3,2,2,2,2,1,2
male,yes,<21,2,2,2,18,21,73,4,2,2,2,1,1,1,2,3,1,1,3,1,1,1,1,1,1,1,1,1,3,3,1,2,3,1,1,1,1,1,1
male,yes,<21,1,2,2,18,38,74,4,2,2,2,2,3,3,3,3,2,2,2,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,2,2
male,yes,<21,2,1,2,18,15,75,3,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
male,yes,<21,1,1,1,18,16,70,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
female,yes,<21,1,1,1,18,17,62,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2
female,yes,<21,1,1,1,18,15,76,2,1,1,1,1,2,2,1,1,1,1,3,2,1,1,3,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,yes,<21,1,1,1,18,22,91,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,3
female,yes,<21,4,3,4,18,20,56,7,4,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1
female,yes,<21,1,1,1,18,20,69,2,1,1,1,1,1,1,3,1,1,3,3,1,1,3,2,1,2,1,1,1,3,1,1,1,3,1,1,1,2,1,2
female,yes,<21,1,1,1,18,24,67,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,4,1,2,1,4,1,1,1,1,1,4
