gender,cyberbully_presence,age_group,religiosity_importance,religiosity_attendance,religiosity_strength,age,total_cyber_victim,total_impulsivity,total_religiosity,private_religiosity,public_religiosity,religious,"cb1_[revised_cyber_bullying_inventory___bully_scale;_1=never;_2=once;_3=two_three_times;_4=more_than_three_times]__in_the_last_12_months,_have_you_cyberbullied_anyone_by...:stealing_of_personal_information_from_computer_like_files,_email_addresses,_pictures,_im_messages,_or_facebook_info",cb2_stealing_of_computer_nicknames_or_screen_names,"cb3_threatening_in_online_forums_like_chat_rooms,_facebook_or_twitter","cb4_insulting_in_online_forums_like_chat_rooms,_facebook_or_twitter",cb5_exluding_in_online_forums_by_blocking_others_comments_or_removing_them,cb6_slandering_by_posting_fake_photos_on_the_internet,cb7_sharing_private_internet_conversations_without_the_others_knowledge_such_as_chatting_with_a_friend_on_skype_with_others_in_the_room,cb8_making_fun_of_comments_in_online_forums_such_as_facebook,cb9_sending_threatening_or_hurtful_comments_through_email,cb10_stealing_email_access_usernames_and_passwords_and_blocking_true_owners_access,cb11_stealing_email_access_and_reading_personal_messages,cb12_sending_threatening_and_or_hurtful_text_messages,cb13_misleading_by_pretending_to_be_other_gender_male/female,cb14_published_online_an_embarrassing_photo_without_a_permission,"cbv1_[revised_cyber_bullying_inventory___victim_scale;_1=never;_2=once;_3=two_three_times;_4=more_than_three_times]_in_the_last_12_months,_have_you_been_cyberbullied_by_anyone_by...:_stealing_of_personal_information_from_computer_like_files,_email_addresses,_pictures,_im_messages,_or_facebook_info",cbv2_stealing_of_computer_nicknames_or_screen_names,"cbv3_threatening_in_online_forums_like_chat_rooms,_facebook_or_twitter","cbv4_insulting_in_online_forums_like_chat_rooms,_facebook_or_twitter",cbv5_excluding_in_online_forums_by_blocking_others_comments_or_removing_them,cbv6_slandering_by_posting_fake_photos_on_the_internet,cbv7_sharing_private_internet_conversations_without_the_others_knowledge_such_as_chatting_with_a_friend_on_skype_with_others_in_the_room,cbv8_making_fun_of_comments_in_online_forums_such_as_facebook,cbv9_sending_threatening_or_hurtful_comments_through_email,cbv10_stealing_email_access_usernames_and_passwords_and_blocking_true_owners_access,cbv11_stealing_email_access_and_reading_personal_messages,cbv12_sending_threatening_and_or_hurtful_text_messages,cbv13_misleading_by_pretending_to_be_other_gender_male/female,cbv14_published_online_an_embarrassing_photo_without_a_permission
female,yes,<21,2,1,1,18,17,70,3,2,1,2,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1
female,yes,<21,1,1,1,18,16,49,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
female,yes,<21,2,1,1,18,17,76,3,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1
female,yes,<21,1,1,1,18,18,73,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1
female,yes,<21,3,3,3,18,15,56,6,3,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,yes,<21,1,1,1,18,18,80,2,1,1,1,1,1,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,2,1,1,2,1,1
female,yes,<21,2,1,2,18,22,74,3,2,1,2,1,1,1,3,3,1,1,3,1,1,1,1,1,1,1,1,1,3,3,1,1,3,1,2,2,1,1,1
female,yes,<21,2,1,2,18,15,60,3,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,yes,<21,2,2,2,18,15,82,4,2,2,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
female,yes,<21,2,3,2,18,15,58,5,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
female,yes,<21,2,2,2,18,15,63,4,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,yes,<21,1,1,1,18,14,68,2,1,1,1,1,2,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,<21,2,1,2,18,18,72,3,2,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,2,1,2
male,yes,<21,4,1,2,19,17,80,4,3,1,2,1,1,1,1,4,1,4,4,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1
male,yes,<21,2,2,2,19,21,81,4,2,2,2,1,2,1,1,2,1,2,3,1,1,1,1,1,2,1,1,1,3,1,1,3,4,1,1,1,1,1,1
male,yes,<21,1,1,2,19,17,53,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2
male,yes,<21,1,1,2,19,19,82,3,2,1,2,1,1,1,1,3,1,1,2,1,1,3,1,1,1,1,1,1,2,3,1,2,1,2,1,1,1,1,1
male,yes,<21,1,1,1,19,18,68,2,1,1,1,1,1,1,2,2,1,1,3,1,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1
male,yes,<21,3,1,3,19,25,68,4,3,1,2,4,4,2,2,3,1,1,3,1,1,3,1,2,1,3,3,3,2,1,1,1,1,1,1,2,1,4,1
female,yes,<21,1,1,2,19,20,76,3,2,1,2,1,1,1,2,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,2
female,yes,<21,4,2,4,19,15,62,6,4,2,2,1,1,1,2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1
female,yes,<21,1,1,2,19,22,74,3,2,1,2,1,1,1,3,1,1,3,3,1,1,1,3,1,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1
female,yes,<21,2,1,2,19,39,70,3,2,1,2,1,1,1,3,2,1,1,4,1,1,1,3,1,1,1,1,4,4,4,3,4,4,4,1,1,4,3,1
female,yes,<21,1,1,1,19,15,76,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
female,yes,<21,1,1,1,19,17,87,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1
male,yes,<21,2,1,2,20,21,66,3,2,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,4,3,1,1,1,1,1,3
male,yes,<21,2,1,2,20,18,58,3,2,1,2,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1
male,yes,<21,2,1,2,20,17,69,3,2,1,2,1,1,3,2,2,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1
male,yes,<21,1,1,1,20,24,71,2,1,1,1,1,2,1,4,3,1,4,4,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,1,1,3,1,1
female,yes,<21,2,1,3,20,15,81,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
female,yes,<21,1,1,1,20,18,66,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1
female,yes,<21,2,1,1,20,15,57,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
female,yes,<21,1,1,1,20,18,62,2,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1
female,yes,<21,3,3,4,20,19,72,7,4,3,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1
female,yes,<21,4,4,4,20,22,87,8,4,4,2,2,1,2,2,3,1,1,1,1,1,1,3,1,1,2,1,1,1,4,1,1,2,2,1,1,3,1,1
female,yes,<21,3,1,3,20,22,58,4,3,1,2,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,2,2,1,1,3,3,1,1,3,1,1
male,yes,<21,2,1,1,21,20,65,3,2,1,2,2,2,1,2,2,1,1,3,1,1,1,1,1,1,2,2,1,2,2,1,1,3,1,1,1,1,1,1
male,yes,<21,2,1,2,21,16,73,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2
male,yes,<21,1,1,1,21,15,68,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
male,yes,<21,2,2,2,21,20,69,4,2,2,2,2,1,1,1,1,1,1,3,1,1,1,1,4,1,2,2,1,3,1,1,2,1,1,1,1,1,1,2
female,yes,<21,1,1,1,21,21,48,2,1,1,1,1,1,1,1,1,1,1,4,3,1,1,3,1,1,1,1,1,1,3,1,1,4,1,1,1,3,1,1
female,yes,<21,1,1,1,21,22,65,2,1,1,1,2,1,1,1,2,1,1,3,1,1,1,3,1,2,1,1,1,1,3,1,2,2,1,1,1,3,1,3
female,yes,<21,1,1,1,21,19,54,2,1,1,1,1,1,1,1,2,1,2,3,1,1,4,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,3
female,yes,<21,3,2,3,21,16,64,5,3,2,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1
female,yes,<21,2,1,2,21,17,66,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1
female,yes,<21,4,2,4,21,16,54,6,4,2,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1
female,yes,<21,1,1,1,21,16,76,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
female,yes,<21,2,1,2,21,20,81,3,2,1,2,3,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,2
female,yes,<21,2,1,2,21,15,66,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
female,yes,<21,1,1,2,21,20,75,3,2,1,2,1,1,1,2,3,1,3,3,1,1,1,1,1,2,1,1,1,1,2,1,3,3,1,1,1,1,1,2
female,yes,<21,1,1,1,21,21,68,2,1,1,1,1,1,1,1,3,1,2,4,1,1,1,1,1,1,1,1,1,1,2,1,4,4,1,1,1,1,1,1
male,yes,>21,3,1,2,22,15,75,4,3,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
male,yes,>21,2,1,1,22,15,66,3,2,1,2,1,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
female,yes,>21,3,2,3,22,33,78,5,3,2,2,4,1,1,3,4,1,4,4,1,3,4,1,1,1,1,1,3,3,3,3,1,4,2,1,3,3,3,2
female,yes,>21,2,1,1,22,33,71,3,2,1,2,1,1,1,1,3,1,3,2,2,1,1,2,1,1,1,1,3,3,3,3,3,3,3,1,1,4,2,2
female,yes,>21,2,1,2,23,18,57,3,2,1,2,1,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1
female,yes,>21,3,2,3,23,23,61,5,3,2,2,1,1,1,3,3,1,1,1,1,1,1,3,2,1,3,1,2,3,2,1,1,1,2,1,2,1,2,1
female,yes,>21,3,2,3,24,22,65,5,3,2,2,1,1,1,1,3,1,2,2,1,1,1,3,1,2,1,1,1,1,1,1,2,2,1,1,3,3,1,3
female,yes,>21,1,1,1,24,16,71,2,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
female,yes,>21,3,1,2,24,23,77,4,3,1,2,1,1,1,1,2,1,4,2,1,2,4,1,1,1,1,1,1,1,2,1,3,1,1,2,3,2,1,3
female,yes,>21,3,1,3,24,15,45,4,3,1,2,1,1,1,1,3,1,1,2,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
female,yes,>21,1,1,1,24,15,65,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
female,yes,>21,2,1,3,24,18,69,4,3,1,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1
female,yes,>21,2,1,2,25,20,60,3,2,1,2,1,1,1,3,3,1,1,3,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1
female,yes,>21,1,1,1,25,16,71,2,1,1,1,1,1,1,1,2,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
female,yes,>21,3,2,4,25,17,52,6,4,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3
female,yes,>21,1,1,1,25,15,65,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
female,yes,>21,4,3,3,25,18,82,7,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1
male,no,<21,3,2,3,17,14,67,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,3,1,4,17,14,61,5,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,3,1,2,17,14,62,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,1,1,1,17,14,51,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,2,2,2,17,14,60,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,<21,2,1,2,18,14,67,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,<21,3,2,3,18,14,71,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,3,2,3,18,14,71,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,4,4,4,18,14,60,8,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,4,4,4,18,14,62,8,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,4,2,3,18,14,71,6,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,2,1,2,19,14,58,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,1,1,1,19,14,54,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,1,1,1,19,14,84,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,<21,4,4,4,20,14,59,8,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,1,1,1,20,14,64,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,2,1,2,20,14,65,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,<21,1,1,1,21,14,66,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,<21,1,1,1,21,14,77,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,<21,1,1,1,21,14,73,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,<21,1,1,2,21,14,63,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,2,1,2,21,14,78,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,1,1,2,21,14,67,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,4,1,4,21,14,60,5,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,<21,2,1,2,21,14,65,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,>21,3,1,2,22,14,52,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
female,no,>21,2,1,1,22,14,79,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,>21,1,1,1,23,14,82,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,no,>21,1,2,1,24,14,63,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
